Referred a Friend,Number of Referrals,Tenure in Months,Phone Service,Multiple Lines,Internet Service,Internet Type,Online Security,Online Backup,Device Protection Plan,Premium Tech Support,Streaming TV,Streaming Movies,Streaming Music,Unlimited Data,Contract,Paperless Billing,Payment Method,Monthly Charge,Total Regular Charges,Total Refunds,Total Extra Data Charges,Total Long Distance Charges,Under 30,Gender,Senior Citizen,Married,Dependents,Number of Dependents
No,0,1,No,No,Yes,Fiber Optic,No,No,Yes,No,No,Yes,No,No,Month-to-Month,Yes,Bank Withdrawal,41.236,39.65,0,0,0,No,Male,Yes,No,No,0
Yes,1,8,Yes,Yes,Yes,Cable,No,Yes,No,No,No,No,No,No,Month-to-Month,Yes,Credit Card,83.876,633.3,0,120,390.8,No,Female,Yes,Yes,Yes,1
No,0,18,Yes,Yes,Yes,Fiber Optic,No,No,No,No,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,99.268,1752.55,45.61,0,203.94,No,Male,Yes,No,Yes,3
Yes,1,25,Yes,No,Yes,Fiber Optic,No,Yes,Yes,No,Yes,Yes,No,No,Month-to-Month,Yes,Bank Withdrawal,102.44,2514.5,13.43,327,494,No,Female,Yes,Yes,Yes,1
Yes,1,37,Yes,Yes,Yes,Cable,No,No,No,No,No,No,No,No,Month-to-Month,Yes,Bank Withdrawal,79.56,2868.15,0,430,234.21,No,Female,Yes,Yes,Yes,1
No,0,27,Yes,Yes,Yes,Fiber Optic,No,No,Yes,No,No,No,No,No,Month-to-Month,Yes,Bank Withdrawal,81.172,2135.5,0,427,89.91,No,Female,Yes,No,Yes,1
Yes,1,1,Yes,No,Yes,Cable,No,No,No,No,No,No,No,No,Month-to-Month,Yes,Mailed Check,73.268,70.45,0,0,15.28,No,Female,Yes,Yes,Yes,2
Yes,6,58,No,No,Yes,Cable,No,Yes,Yes,No,No,Yes,No,No,Month-to-Month,Yes,Bank Withdrawal,47.112,2651.2,40.95,689,0,No,Male,Yes,Yes,No,0
No,0,15,Yes,Yes,Yes,Cable,No,No,No,No,No,No,No,No,Month-to-Month,Yes,Mailed Check,77.428,1145.7,0,241,661.05,No,Female,Yes,No,Yes,2
No,0,7,Yes,No,Yes,DSL,Yes,No,No,No,No,No,No,No,Month-to-Month,No,Bank Withdrawal,79.508,503.6,11.05,101,188.65,No,Female,Yes,No,Yes,2
